5.200.000.000.000.000.000.000;392.205.118.614.462.000.000.000;432.923.066.336.727.000.000.000;424.871.784.482.325.000.000.000;391.025.631.463.817.000.000.000;448.256.399.295.112.000.000.000;421.384.605.080.418.000.000.000;463.282.039.953.328.000.000.000;383.282.041.909.583.000.000.000;424.871.784.482.325.000.000.000;477.179.475.510.927.000.000.000;426.307.681.883.110.000.000.000;453.384.604.297.916.000.000.000;407.487.169.522.819.000.000.000
5.300.000.000.000.000.000.000;392.512.810.914.631.000.000.000;433.692.297.087.148.000.000.000;425.230.758.832.521.000.000.000;391.179.477.613.902.000.000.000;448.153.835.195.056.000.000.000;421.025.630.730.222.000.000.000;463.282.039.953.328.000.000.000;383.333.323.959.611.000.000.000;425.230.758.832.521.000.000.000;477.025.629.360.843.000.000.000;426.512.810.083.222.000.000.000;453.487.168.397.972.000.000.000;407.846.143.873.015.000.000.000
5.400.000.000.000.000.000.000;392.564.092.964.659.000.000.000;434.051.271.437.344.000.000.000;425.128.194.732.465.000.000.000;391.230.759.663.930.000.000.000;448.205.117.245.084.000.000.000;420.051.271.779.689.000.000.000;463.384.604.053.384.000.000.000;383.282.041.909.583.000.000.000;424.974.348.582.381.000.000.000;476.512.808.860.563.000.000.000;426.410.245.983.166.000.000.000;453.641.014.548.056.000.000.000;407.641.015.672.903.000.000.000
5.500.000.000.000.000.000.000;392.256.400.664.490.000.000.000;433.384.604.786.980.000.000.000;424.717.938.332.241.000.000.000;390.974.349.413.789.000.000.000;447.897.424.944.916.000.000.000;419.846.143.579.577.000.000.000;463.230.757.903.300.000.000.000;383.179.477.809.527.000.000.000;424.717.938.332.241.000.000.000;476.410.244.760.507.000.000.000;425.948.707.532.914.000.000.000;453.589.732.498.028.000.000.000;407.179.477.222.651.000.000.000
5.600.000.000.000.000.000.000;392.051.272.464.378.000.000.000;433.230.758.636.896.000.000.000;424.615.374.232.185.000.000.000;390.769.221.213.677.000.000.000;447.692.296.744.803.000.000.000;420.102.553.829.717.000.000.000;463.076.911.753.216.000.000.000;383.230.759.859.555.000.000.000;424.871.784.482.325.000.000.000;476.717.937.060.675.000.000.000;425.589.733.182.718.000.000.000;453.282.040.197.860.000.000.000;407.179.477.222.651.000.000.000
5.700.000.000.000.000.000.000;392.153.836.564.434.000.000.000;433.641.015.037.120.000.000.000;424.717.938.332.241.000.000.000;390.923.067.363.761.000.000.000;447.897.424.944.916.000.000.000;419.692.297.429.493.000.000.000;463.128.193.803.244.000.000.000;383.333.323.959.611.000.000.000;424.666.656.282.213.000.000.000;476.307.680.660.451.000.000.000;425.384.604.982.605.000.000.000;453.384.604.297.916.000.000.000;406.615.374.672.342.000.000.000
5.800.000.000.000.000.000.000;392.512.810.914.631.000.000.000;433.538.450.937.064.000.000.000;424.871.784.482.325.000.000.000;391.076.913.513.845.000.000.000;447.999.989.044.972.000.000.000;419.384.605.129.324.000.000.000;463.282.039.953.328.000.000.000;383.282.041.909.583.000.000.000;424.564.092.182.157.000.000.000;475.435.885.809.974.000.000.000;424.974.348.582.381.000.000.000;453.487.168.397.972.000.000.000;405.641.015.721.809.000.000.000
5.900.000.000.000.000.000.000;392.871.785.264.827.000.000.000;433.589.732.987.092.000.000.000;424.923.066.532.353.000.000.000;391.179.477.613.902.000.000.000;447.897.424.944.916.000.000.000;419.743.579.479.521.000.000.000;463.333.322.003.356.000.000.000;383.333.323.959.611.000.000.000;424.974.348.582.381.000.000.000;475.282.039.659.890.000.000.000;424.871.784.482.325.000.000.000;453.282.040.197.860.000.000.000;405.435.887.521.697.000.000.000
6.000.000.000.000.000.000.000;392.461.528.864.603.000.000.000;433.743.579.137.176.000.000.000;424.871.784.482.325.000.000.000;390.974.349.413.789.000.000.000;448.051.271.095.000.000.000.000;420.307.682.029.829.000.000.000;463.230.757.903.300.000.000.000;383.384.606.009.639.000.000.000;424.974.348.582.381.000.000.000;475.128.193.509.806.000.000.000;425.025.630.632.409.000.000.000;453.230.758.147.832.000.000.000;405.282.041.371.613.000.000.000
6.100.000.000.000.000.000.000;391.743.580.164.210.000.000.000;433.487.168.887.036.000.000.000;424.666.656.282.213.000.000.000;390.564.093.013.565.000.000.000;448.256.399.295.112.000.000.000;420.410.246.129.885.000.000.000;463.076.911.753.216.000.000.000;383.333.323.959.611.000.000.000;424.923.066.532.353.000.000.000;475.076.911.459.778.000.000.000;424.974.348.582.381.000.000.000;453.333.322.247.888.000.000.000;404.717.938.821.305.000.000.000
